Sta,CD,Member Elected,Party,PVI,Rank,Winner2012,Margin,Romney,Obama,Cong,Winner2008,Margin,McCain,Obama,Net%
LA,3,"BOUSTANY, CHARLES, JR. (R)",REPUBLICAN,R+19,34,Romney,-34,66,32,,McCain,-31,64,34,-2
LA,4,"FLEMING, JOHN (R)",REPUBLICAN,R+13,94,Romney,-19,59,40,,McCain,-19,59,40,0
LA,5,"ALEXANDER, RODNEY (R)",REPUBLICAN,R+15,63,Romney,-23,61,38,,McCain,-25,62,37,1
LA,6,"CASSIDY, WILLIAM ‰ÛªBILL‰Ûª (R)",REPUBLICAN,R+21,24,Romney,-34,66,32,,McCain,-37,68,31,1
ME ,1,"Pingree, Chellie (D)",DEMOCRAT,D+ 9,318,Obama,-21,38,59,,Obama,-24,37,61,-2
ME ,2,"Michaud, Michael H. (D)",DEMOCRAT,D+ 2,258,Obama,-9,44,53,,Obama,-11,44,54,-1
MD ,1,"HARRIS, ANDY (R)",REPUBLICAN,R+14,72,Romney,-23,61,37,,McCain,-21,60,39,-1
MD ,2,"Ruppersberger, ‰ÛªDutch‰Ûª (D)",DEMOCRAT,D+10,326,Obama,-28,35,63,,Obama,-23,38,61,2
MD ,3,"Sarbanes, John P. (D)",DEMOCRAT,D+ 9,320,Obama,-25,37,61,,Obama,-22,38,60,1
MD ,4,"Edwards, Donna F. (D)",DEMOCRAT,D+26,401,Obama,-57,21,78,,Obama,-56,22,77,0
MD ,5,"Hoyer, Steny H. (D)",DEMOCRAT,D+14,348,Obama,-34,32,66,,Obama,-32,34,65,1
MD ,6,"Delaney, John K. (D)",DEMOCRAT,D+ 4,268,Obama,-12,43,55,,Obama,-14,42,56,-2
MD ,7,"Cummings, Elijah E. (D)",DEMOCRAT,D+24,397,Obama,-53,23,76,,Obama,-54,23,77,-1
MD ,8,"Van Hollen, Chris (D)",DEMOCRAT,D+11,331,Obama,-27,36,62,,Obama,-27,36,63,-1
MA ,1,"Neal, Richard E. (D)",DEMOCRAT,D+13,340,Obama,-30,34,64,,Obama,-32,34,64,0
MA ,2,"McGovern, James P. (D)",DEMOCRAT,D+ 8,308,Obama,-20,39,59,,Obama,-23,37,60,-2
MA ,3,"Tsongas, Nicola S. ‰ÛªNiki‰Ûª (D)",DEMOCRAT,D+ 6,290,Obama,-16,41,57,,Obama,-19,39,58,-2
MA ,4,"Kennedy, Joseph P., III (D)",DEMOCRAT,D+ 6,291,Obama,-16,41,57,,Obama,-23,39,58,-1
MA ,5,"Markey, Edward J. (D)",DEMOCRAT,D+14,351,Obama,-32,33,65,,Obama,-33,32,66,-1
MA ,6,"Tierney, John F. (D)",DEMOCRAT,D+ 4,266,Obama,-11,44,55,,Obama,-15,42,56,-2
MA ,7,"Capuano, Michael E. (D)",DEMOCRAT,D+31,419,Obama,-67,16,82,,Obama,-65,16,82,0
MA ,8,"Lynch, Stephen F. (D)",DEMOCRAT,D+ 6,292,Obama,-17,41,58,,Obama,-17,39,59,-1
MA ,9,"Keating, William Richard (D)",DEMOCRAT,D+ 5,273,Obama,-12,43,55,,Obama,-17,41,58,-2
MI,1,"BENISHEK, DAN (R)",REPUBLICAN,R+ 5,191,Romney,-8,54,45,,Obama,(1)#,48,50,-5
MI,2,"HUIZENGA, BILL (R)",REPUBLICAN,R+ 7,165,Romney,-13,56,43,,McCain,(2)#,50,48,-5
MI,3,"AMASH, JUSTIN (R)",REPUBLICAN,R+ 4,196,Romney,-7,53,46,,Obama,(1)#,49,50,-4
MI,4,"CAMP, DAVE (R)",REPUBLICAN,R+ 5,192,Romney,-8,53,45,,Obama,(1)#,49,50,-4
MI,5,"Kildee, Daniel T. (D)",DEMOCRAT,D+10,322,Obama,-22,38,61,,Obama,-28,35,63,-2
MI,6,"UPTON, FRED (R)",REPUBLICAN,R+ 1,235,Romney,(1)#,50,49,,Obama,-8,45,53,-4
MI,7,"WALBERG, TIM (R)",REPUBLICAN,R+ 3,215,Romney,-3,51,48,,Obama,-3,47,51,-3
MI,8,"ROGERS, MIKE (R)",REPUBLICAN,R+ 2,219,Romney,-3,51,48,,Obama,-6,46,52,-4
MI,9,"Levin, Sander M. (D)",DEMOCRAT,D+ 6,287,Obama,-15,42,57,,Obama,-18,40,58,-1
MI,10,"MILLER, CANDICE S. (R)",REPUBLICAN,R+ 6,172,Romney,-12,55,44,,McCain,(2)#,50,48,-4
MI,11,"BENTIVOLIO, KERRY L. (R)",REPUBLICAN,R+ 4,205,Romney,-5,52,47,,Obama,(2)#,48,50,-3
MI,12,"Dingell, John D. (D)",DEMOCRAT,D+15,354,Obama,-34,33,66,,Obama,-36,31,67,-1
MI,13,"Conyers, John, Jr. (D)",DEMOCRAT,D+34,423,Obama,-71,14,85,,Obama,-74,13,86,-1
MI,14,"Peters, Gary C. (D)",DEMOCRAT,D+29,411,Obama,-62,19,81,,Obama,-63,18,81,0
MN ,1,"Walz, Timothy J. (D)",DEMOCRAT,R+ 1,231,Obama,(1)#,48,49,,Obama,-4,47,51,-2
MN ,2,"KLINE, JOHN (R)",REPUBLICAN,R+ 2,221,Obama,(0)#,49,49,OR,Obama,-3,48,50,-2
